/home/cw10108/ComputerArchitecture/pyrisc/sim/snurisc.py       -l 4 decode
Loading file decode
0 0x80000294: lui    sp, 0x80020000         # R[2] <- 0x80020000, pc_next=0x80000298
22 0x8000000c: sw     a1, 8(sp)              # pc_next=0x80000010
23 0x80000010: sw     a2, 12(sp)             # pc_next=0x80000014
24 0x80000014: sw     a3, 16(sp)             # pc_next=0x80000018
25 0x80000018: sw     zero, 0(a2)            # pc_next=0x8000001c
26 0x8000001c: beq    a1, zero, 0x80000240   # R[4] <- 0x80000020, pc_next=0x80000020
27 0x80000020: lw     a0, 0(a0)              # R[10] <- 0x485f2067, pc_next=0x80000024
28 0x80000024: jal    ra, 0x8000024c         # R[1] <- 0x80000028, pc_next=0x8000024c
29 0x8000024c: addi   sp, sp, -8             # R[2] <- 0x8001fed4, pc_next=0x80000250
30 0x80000250: sw     a4, 0(sp)              # pc_next=0x80000254
31 0x80000254: sw     a5, 4(sp)              # pc_next=0x80000258
32 0x80000258: slli   a4, a0, 24             # R[14] <- 0x67000000, pc_next=0x8000025c
33 0x8000025c: srli   a0, a0, 8              # R[10] <- 0x00485f20, pc_next=0x80000260
34 0x80000260: slli   a5, a0, 24             # R[15] <- 0x20000000, pc_next=0x80000264
35 0x80000264: srli   a5, a5, 8              # R[15] <- 0x00200000, pc_next=0x80000268
36 0x80000268: add    a4, a4, a5             # R[14] <- 0x67200000, pc_next=0x8000026c
37 0x8000026c: srli   a0, a0, 8              # R[10] <- 0x0000485f, pc_next=0x80000270
38 0x80000270: slli   a5, a0, 24             # R[15] <- 0x5f000000, pc_next=0x80000274
39 0x80000274: srli   a5, a5, 16             # R[15] <- 0x00005f00, pc_next=0x80000278
40 0x80000278: add    a4, a4, a5             # R[14] <- 0x67205f00, pc_next=0x8000027c
41 0x8000027c: srli   a0, a0, 8              # R[10] <- 0x00000048, pc_next=0x80000280
42 0x80000280: add    a0, a0, a4             # R[10] <- 0x67205f48, pc_next=0x80000284
43 0x80000284: lw     a4, 0(sp)              # R[14] <- 0x00000000, pc_next=0x80000288
44 0x80000288: lw     a5, 4(sp)              # R[15] <- 0x00000000, pc_next=0x8000028c
45 0x8000028c: addi   sp, sp, 8              # R[2] <- 0x8001fedc, pc_next=0x80000290
46 0x80000290: jalr   zero, ra, 0            # pc_next=0x80000028
47 0x80000028: addi   sp, sp, -8             # R[2] <- 0x8001fed4, pc_next=0x8000002c
48 0x8000002c: sw     a0, 0(sp)              # pc_next=0x80000030
49 0x80000030: addi   a1, zero, -1           # R[11] <- 0xffffffff, pc_next=0x80000034
50 0x80000034: addi   a3, zero, 28           # R[13] <- 0x0000001c, pc_next=0x80000038
51 0x80000038: addi   a4, zero, 0            # R[14] <- 0x00000000, pc_next=0x8000003c
52 0x8000003c: addi   a1, a1, 1              # R[11] <- 0x00000000, pc_next=0x80000040
53 0x80000040: addi   a5, zero, 16           # R[15] <- 0x00000010, pc_next=0x80000044
54 0x80000044: bge    a1, a5, 0x8000007c     # R[24] <- 0x80000048, pc_next=0x80000048
55 0x80000048: addi   a2, zero, -4           # R[12] <- 0xfffffffc, pc_next=0x8000004c
56 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x00000000, pc_next=0x80000050
57 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
58 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
59 0x80000058: srl    a5, a0, a2             # R[15] <- 0x67205f48, pc_next=0x8000005c
60 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x00000008, pc_next=0x80000060
61 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x18000004c
62 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x00000004, pc_next=0x80000050
63 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
64 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
65 0x80000058: srl    a5, a0, a2             # R[15] <- 0x067205f4, pc_next=0x8000005c
66 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x00000004, pc_next=0x80000060
67 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x18000004c
68 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x00000008, pc_next=0x80000050
69 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
70 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
71 0x80000058: srl    a5, a0, a2             # R[15] <- 0x0067205f, pc_next=0x8000005c
72 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x0000000f, pc_next=0x80000060
73 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x18000004c
74 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x0000000c, pc_next=0x80000050
75 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
76 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
77 0x80000058: srl    a5, a0, a2             # R[15] <- 0x00067205, pc_next=0x8000005c
78 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x00000005, pc_next=0x80000060
79 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x18000004c
80 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x00000010, pc_next=0x80000050
81 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
82 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
83 0x80000058: srl    a5, a0, a2             # R[15] <- 0x00006720, pc_next=0x8000005c
84 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x00000000, pc_next=0x80000060
85 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x80000064
86 0x80000064: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000068
87 0x80000068: blt    a2, a5, 0x8000003c     # R[21] <- 0x8000006c, pc_next=0x18000003c
88 0x8000003c: addi   a1, a1, 1              # R[11] <- 0x00000001, pc_next=0x80000040
89 0x80000040: addi   a5, zero, 16           # R[15] <- 0x00000010, pc_next=0x80000044
90 0x80000044: bge    a1, a5, 0x8000007c     # R[24] <- 0x80000048, pc_next=0x80000048
91 0x80000048: addi   a2, zero, -4           # R[12] <- 0xfffffffc, pc_next=0x8000004c
92 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x00000000, pc_next=0x80000050
93 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
94 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
95 0x80000058: srl    a5, a0, a2             # R[15] <- 0x67205f48, pc_next=0x8000005c
96 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x00000008, pc_next=0x80000060
97 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x18000004c
98 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x00000004, pc_next=0x80000050
99 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
100 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
101 0x80000058: srl    a5, a0, a2             # R[15] <- 0x067205f4, pc_next=0x8000005c
102 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x00000004, pc_next=0x80000060
103 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x18000004c
104 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x00000008, pc_next=0x80000050
105 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
106 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
107 0x80000058: srl    a5, a0, a2             # R[15] <- 0x0067205f, pc_next=0x8000005c
108 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x0000000f, pc_next=0x80000060
109 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x18000004c
110 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x0000000c, pc_next=0x80000050
111 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
112 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
113 0x80000058: srl    a5, a0, a2             # R[15] <- 0x00067205, pc_next=0x8000005c
114 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x00000005, pc_next=0x80000060
115 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x18000004c
116 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x00000010, pc_next=0x80000050
117 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
118 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
119 0x80000058: srl    a5, a0, a2             # R[15] <- 0x00006720, pc_next=0x8000005c
120 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x00000000, pc_next=0x80000060
121 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x18000004c
122 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x00000014, pc_next=0x80000050
123 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
124 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
125 0x80000058: srl    a5, a0, a2             # R[15] <- 0x00000672, pc_next=0x8000005c
126 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x00000002, pc_next=0x80000060
127 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x18000004c
128 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x00000018, pc_next=0x80000050
129 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
130 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
131 0x80000058: srl    a5, a0, a2             # R[15] <- 0x00000067, pc_next=0x8000005c
132 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x00000007, pc_next=0x80000060
133 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x18000004c
134 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x0000001c, pc_next=0x80000050
135 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
136 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
137 0x80000058: srl    a5, a0, a2             # R[15] <- 0x00000006, pc_next=0x8000005c
138 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x00000006, pc_next=0x80000060
139 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x18000004c
140 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x00000020, pc_next=0x80000050
141 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
142 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000064
143 0x80000064: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000068
144 0x80000068: blt    a2, a5, 0x8000003c     # R[21] <- 0x8000006c, pc_next=0x8000006c
145 0x8000006c: sll    a5, a1, a3             # R[15] <- 0x10000000, pc_next=0x80000070
146 0x80000070: add    a4, a4, a5             # R[14] <- 0x10000000, pc_next=0x80000074
147 0x80000074: addi   a3, a3, -4             # R[13] <- 0x00000018, pc_next=0x80000078
148 0x80000078: beq    zero, zero, 0x8000003c # R[5] <- 0x8000007c, pc_next=0x18000003c
149 0x8000003c: addi   a1, a1, 1              # R[11] <- 0x00000002, pc_next=0x80000040
150 0x80000040: addi   a5, zero, 16           # R[15] <- 0x00000010, pc_next=0x80000044
151 0x80000044: bge    a1, a5, 0x8000007c     # R[24] <- 0x80000048, pc_next=0x80000048
152 0x80000048: addi   a2, zero, -4           # R[12] <- 0xfffffffc, pc_next=0x8000004c
153 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x00000000, pc_next=0x80000050
154 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
155 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
156 0x80000058: srl    a5, a0, a2             # R[15] <- 0x67205f48, pc_next=0x8000005c
157 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x00000008, pc_next=0x80000060
158 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x18000004c
159 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x00000004, pc_next=0x80000050
160 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
161 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
162 0x80000058: srl    a5, a0, a2             # R[15] <- 0x067205f4, pc_next=0x8000005c
163 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x00000004, pc_next=0x80000060
164 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x18000004c
165 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x00000008, pc_next=0x80000050
166 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
167 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
168 0x80000058: srl    a5, a0, a2             # R[15] <- 0x0067205f, pc_next=0x8000005c
169 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x0000000f, pc_next=0x80000060
170 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x18000004c
171 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x0000000c, pc_next=0x80000050
172 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
173 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
174 0x80000058: srl    a5, a0, a2             # R[15] <- 0x00067205, pc_next=0x8000005c
175 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x00000005, pc_next=0x80000060
176 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x18000004c
177 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x00000010, pc_next=0x80000050
178 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
179 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
180 0x80000058: srl    a5, a0, a2             # R[15] <- 0x00006720, pc_next=0x8000005c
181 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x00000000, pc_next=0x80000060
182 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x18000004c
183 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x00000014, pc_next=0x80000050
184 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
185 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
186 0x80000058: srl    a5, a0, a2             # R[15] <- 0x00000672, pc_next=0x8000005c
187 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x00000002, pc_next=0x80000060
188 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x80000064
189 0x80000064: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000068
190 0x80000068: blt    a2, a5, 0x8000003c     # R[21] <- 0x8000006c, pc_next=0x18000003c
191 0x8000003c: addi   a1, a1, 1              # R[11] <- 0x00000003, pc_next=0x80000040
192 0x80000040: addi   a5, zero, 16           # R[15] <- 0x00000010, pc_next=0x80000044
193 0x80000044: bge    a1, a5, 0x8000007c     # R[24] <- 0x80000048, pc_next=0x80000048
194 0x80000048: addi   a2, zero, -4           # R[12] <- 0xfffffffc, pc_next=0x8000004c
195 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x00000000, pc_next=0x80000050
196 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
197 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
198 0x80000058: srl    a5, a0, a2             # R[15] <- 0x67205f48, pc_next=0x8000005c
199 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x00000008, pc_next=0x80000060
200 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x18000004c
201 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x00000004, pc_next=0x80000050
202 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
203 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
204 0x80000058: srl    a5, a0, a2             # R[15] <- 0x067205f4, pc_next=0x8000005c
205 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x00000004, pc_next=0x80000060
206 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x18000004c
207 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x00000008, pc_next=0x80000050
208 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
209 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
210 0x80000058: srl    a5, a0, a2             # R[15] <- 0x0067205f, pc_next=0x8000005c
211 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x0000000f, pc_next=0x80000060
212 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x18000004c
213 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x0000000c, pc_next=0x80000050
214 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
215 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
216 0x80000058: srl    a5, a0, a2             # R[15] <- 0x00067205, pc_next=0x8000005c
217 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x00000005, pc_next=0x80000060
218 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x18000004c
219 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x00000010, pc_next=0x80000050
220 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
221 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
222 0x80000058: srl    a5, a0, a2             # R[15] <- 0x00006720, pc_next=0x8000005c
223 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x00000000, pc_next=0x80000060
224 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x18000004c
225 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x00000014, pc_next=0x80000050
226 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
227 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
228 0x80000058: srl    a5, a0, a2             # R[15] <- 0x00000672, pc_next=0x8000005c
229 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x00000002, pc_next=0x80000060
230 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x18000004c
231 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x00000018, pc_next=0x80000050
232 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
233 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
234 0x80000058: srl    a5, a0, a2             # R[15] <- 0x00000067, pc_next=0x8000005c
235 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x00000007, pc_next=0x80000060
236 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x18000004c
237 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x0000001c, pc_next=0x80000050
238 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
239 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
240 0x80000058: srl    a5, a0, a2             # R[15] <- 0x00000006, pc_next=0x8000005c
241 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x00000006, pc_next=0x80000060
242 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x18000004c
243 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x00000020, pc_next=0x80000050
244 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
245 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000064
246 0x80000064: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000068
247 0x80000068: blt    a2, a5, 0x8000003c     # R[21] <- 0x8000006c, pc_next=0x8000006c
248 0x8000006c: sll    a5, a1, a3             # R[15] <- 0x03000000, pc_next=0x80000070
249 0x80000070: add    a4, a4, a5             # R[14] <- 0x13000000, pc_next=0x80000074
250 0x80000074: addi   a3, a3, -4             # R[13] <- 0x00000014, pc_next=0x80000078
251 0x80000078: beq    zero, zero, 0x8000003c # R[5] <- 0x8000007c, pc_next=0x18000003c
252 0x8000003c: addi   a1, a1, 1              # R[11] <- 0x00000004, pc_next=0x80000040
253 0x80000040: addi   a5, zero, 16           # R[15] <- 0x00000010, pc_next=0x80000044
254 0x80000044: bge    a1, a5, 0x8000007c     # R[24] <- 0x80000048, pc_next=0x80000048
255 0x80000048: addi   a2, zero, -4           # R[12] <- 0xfffffffc, pc_next=0x8000004c
256 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x00000000, pc_next=0x80000050
257 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
258 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
259 0x80000058: srl    a5, a0, a2             # R[15] <- 0x67205f48, pc_next=0x8000005c
260 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x00000008, pc_next=0x80000060
261 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x18000004c
262 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x00000004, pc_next=0x80000050
263 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
264 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
265 0x80000058: srl    a5, a0, a2             # R[15] <- 0x067205f4, pc_next=0x8000005c
266 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x00000004, pc_next=0x80000060
267 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x80000064
268 0x80000064: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000068
269 0x80000068: blt    a2, a5, 0x8000003c     # R[21] <- 0x8000006c, pc_next=0x18000003c
270 0x8000003c: addi   a1, a1, 1              # R[11] <- 0x00000005, pc_next=0x80000040
271 0x80000040: addi   a5, zero, 16           # R[15] <- 0x00000010, pc_next=0x80000044
272 0x80000044: bge    a1, a5, 0x8000007c     # R[24] <- 0x80000048, pc_next=0x80000048
273 0x80000048: addi   a2, zero, -4           # R[12] <- 0xfffffffc, pc_next=0x8000004c
274 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x00000000, pc_next=0x80000050
275 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
276 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
277 0x80000058: srl    a5, a0, a2             # R[15] <- 0x67205f48, pc_next=0x8000005c
278 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x00000008, pc_next=0x80000060
279 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x18000004c
280 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x00000004, pc_next=0x80000050
281 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
282 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
283 0x80000058: srl    a5, a0, a2             # R[15] <- 0x067205f4, pc_next=0x8000005c
284 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x00000004, pc_next=0x80000060
285 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x18000004c
286 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x00000008, pc_next=0x80000050
287 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
288 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
289 0x80000058: srl    a5, a0, a2             # R[15] <- 0x0067205f, pc_next=0x8000005c
290 0x8000005c: andi   a5, a5, 15             # R[15] <- 0x0000000f, pc_next=0x80000060
291 0x80000060: bne    a1, a5, 0x8000004c     # R[13] <- 0x80000064, pc_next=0x18000004c
292 0x8000004c: addi   a2, a2, 4              # R[12] <- 0x0000000c, pc_next=0x80000050
293 0x80000050: addi   a5, zero, 32           # R[15] <- 0x00000020, pc_next=0x80000054
294 0x80000054: bge    a2, a5, 0x80000064     # R[16] <- 0x80000058, pc_next=0x80000058
295 0x80000058: srl    a5, a0, a2             # R[15] <- 0x00067205, pc_next=0x8000005c
